#CODE	ENGLISH
haughty	Haughty
gov_hereditary_despotic_autocracy	Hereditary Despotic Imperial Autocracy
gov_hereditary_despotic_autocracy_indian	Despotic Imperial Autocracy
gov_hereditary_despotic_autocracy_norse	Hereditary Despotic Imperial Autocracy
gov_hereditary_despotic_autocracy_tengri	Hereditary Despotic Imperial Autocracy
gov_hereditary_despotic_monarchy	Hereditary Despotic [PrimaryTitle.GetTier]
gov_hereditary_despotic_monarchy_zoro	Hereditary Despotic [PrimaryTitle.GetTier]
gov_hereditary_despotic_monarchy_indian	Despotic [PrimaryTitle.GetTier]
gov_hereditary_despotic_monarchy_norse	Hereditary Despotic [PrimaryTitle.GetTier]
gov_hereditary_despotic_monarchy_tengri	Hereditary Despotic [PrimaryTitle.GetTier]
gov_muslim_absolute_autocracy	Absolute Imperial Autocracy
gov_muslim_absolute_monarchy	Absolute [PrimaryTitle.GetTier]
gov_muslim_aristocratic_autocracy	Aristocratic Imperial Autocracy
gov_muslim_aristocratic_monarchy	Aristocratic [PrimaryTitle.GetTier]
gov_muslim_despotic_autocracy	Despotic Imperial Autocracy
gov_muslim_despotic_monarchy	Despotic [PrimaryTitle.GetTier]
gov_aristocratic_republic	Aristocratic [PrimaryTitle.GetTier]
gov_plutocratic_republic	Plutocratic [PrimaryTitle.GetTier]
gov_oligarchic_republic	Oligarchic [PrimaryTitle.GetTier]
gov_patrician	[GetOnlyDynastyName] Patriciate
gov_prince_electorate	Prince Electorate
gov_king_electorate	King Electorate
gov_carolingian_hegemony	Carolingian Hegemony
gov_imperial_carolingian_hegemony	Imperial Carolingian Hegemony
gov_chiefdom	[Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_grand_chiefdom	[Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_noble_chiefdom	Noble [Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_crusader_state	Crusader State
gov_crusader_kingdom	Crusader Kingdom
gov_hereditary_zun	Hereditary [PrimaryTitle.GetTier] of the Sun
gov_electorial_zun	Elective [PrimaryTitle.GetTier] of the Sun
gov_terror	[PrimaryTitle.GetTier] of Terror
gov_duchy_viceroy	[Liege.PrimaryTitle.GetAdjective] Minor Viceroyalty
gov_king_viceroy	[Liege.PrimaryTitle.GetAdjective] Viceroyalty
gov_duchy_viceroy_byz	[Liege.PrimaryTitle.GetAdjective] Theme
gov_king_viceroy_byz	[Liege.PrimaryTitle.GetAdjective] Exarchate
gov_aztec	Aztec Colony
gov_electorial_absolute_hre	Elective Absolute [PrimaryTitle.GetTier]
gov_hereditary_absolute_hre	Hereditary Absolute [PrimaryTitle.GetTier]
gov_electorial_despotic_hre	Elective Despotic [PrimaryTitle.GetTier]
gov_hereditary_despotic_hre	Hereditary Despotic [PrimaryTitle.GetTier]
gov_aristocratic_electorial_hre	Elective Aristocratic [PrimaryTitle.GetTier]
gov_aristocratic_hereditary_hre	Hereditary Aristocratic [PrimaryTitle.GetTier]
gov_nomadic_mongol_empire	Ikh Mongol Uls
gov_khaganate	[Culture.GetName] [PrimaryTitle.GetTier]
gov_clan	[GetOnlyDynastyName] [PrimaryTitle.GetTier]
LAW_COUNCIL_REJECTED_SETUP	The Council Rejects a Proposed Law
ALLOW_FEMINISM_ON	Female rulers do not incur negative opinion modifiers\n
ALLOW_FEMINISM_OFF	Female rulers incur negative opinion modifiers\n
ALLOW_GENDER_LAWS_ON	Allow change of Gender Preference Laws\n
ALLOW_GENDER_LAWS_OFF	Revoke allowing change of Gender Preference Laws\n
alert_my_peace_soon_enforced_instant	§YYou are enforcing Realm Peace!§!
alert_my_peace_soon_enforced_delayed	Your Council has declared that peace shall rule the realm! \nAll internal wars waged between your vassals will end with a §YWhite Peace§! in $MONTHS|Y$ months!
alert_my_peace_being_enforced_instant	§YRealm Peace Enforced!§!
alert_my_peace_being_enforced_delayed	Your Council has declared that peace shall rule the realm! \nYour vassals are unable to wage war on each other for another $MONTHS|Y$ months!
tribal_county	Chiefdom
tribal_kingdom_old_saxon	Grand Chiefdom
tribal_kingdom_altaic	Khanate
tribal_empire_altaic	Khaganate
tribal_kingdom_arabic	Sultanate
tribal_empire_russian	Tsardom
duchy_russian	Grand Principality
empire_russian	Tsardom
gov_revolt	[PrimaryTitle.GetAdjective] Revolt
gov_romuva_eldership	[Religion.GetName] Eldership
gov_noble_romuva_eldership	Noble [Religion.GetName] Eldership
gov_norse_chiefdom	[Religion.GetName] [PrimaryTitle.GetTier]
gov_noble_norse_chiefdom	Noble [Religion.GetName] [PrimaryTitle.GetTier]
gov_muslim_chiefdom	[Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_noble_muslim_chiefdom	Noble [Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_african_chiefdom	[Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_noble_african_chiefdom	Noble [Religion.GetGroupName] [PrimaryTitle.GetTier]
gov_hereditary_danelaw	Hereditary Danelaw
gov_electorial_danelaw	Elective Danelaw
COUNCIL_DISCONTENT_FROM_SUCCESSION	Succession always makes the council discontent.
FAVOR_ALERT_ACTION	 §Y- $ACTION$§!\n
FAVOR_FORCE_VOTE	Make someone vote like you on council or law issues
#FAVOR_PREVENT_ENFORCE_PEACE	Prevent a Realm Peace from your liege
FAVOR_PRESS_CLAIM	Ask your liege to press one of your claims in a war
FAVOR_START_LAW_VOTE	Start a law vote for your liege
FAVOR_FORCE_MARRIAGE	Force acceptance of a Arrange Marriage proposal
FAVOR_FORCE_GUARDIANSHIP	Force acceptance of an Educate Child proposal
FAVOR_END_PLOT	Force acceptance of an End Plot or Stop Backing Plot request
COUNCIL_CONTENT	Council is Content
COUNCIL_DISCONTENT	Discontent until $UNTIL$
COUNCIL_STATUS_LONG_CONTENT_PLAYER	Your [Actor.GetCouncilName] is §YContent§!
COUNCIL_STATUS_LONG_CONTENT_LIEGE	The [Actor.GetCouncilName] of §Y[Actor.GetBestName]§! is §YContent§!
COUNCIL_STATUS_LONG_DISCONTENT_PLAYER	Your [Actor.GetCouncilName] has been §YDiscontent§! for $DISCONTENT_DURATION$ month(s).
COUNCIL_STATUS_LONG_DISCONTENT_LIEGE	The [Actor.GetCouncilName] of [Actor.GetBestName] has been §YDiscontent§! for $DISCONTENT_DURATION$ month(s).
#COUNCIL_DISCONTENT_EFFECT	Councillors cannot join or start §YFactions§! while the council is §YContent§! (Nomadic and Tribal councillors can always join and start factions).\nThe liege cannot §YEnforce Realm Peace§! while the council is §YDiscontent§!.
COUNCIL_REASON_FOR_DISCONTENT	Reason for being discontent:\n$REASON|Y$\n\n
GENERIC_DISCONTENT_REASON	Made a decision that the Council had voted no for
INHERITANCE_TAB	§YInheritance Laws§!
INHERITANCE_TAB_DELAYED	These laws control how succession is done and who will inherit what.
REALM_TAB	§YRealm Laws§!
REALM_TAB_DELAYED	These laws control how the realm is ruled and what the liege is allowed to do.
OBLIGATIONS_TAB	§YObligation Laws§!
OBLIGATIONS_TAB_DELAYED	These laws control how much taxes and levies vassals have to provide to the liege.
COUNCIL_LAW_TAB	§YCouncil Laws§!
COUNCIL_LAW_TAB_DELAYED	These laws control if there is a council or not and what issues the council is allowed to influence.
revoke_title_interaction_voting	Revocation of Titles
imprison_character_interaction_voting	Imprisonment
grant_landed_title_interaction_voting	Granting Titles
exile_imprisoned_interaction_voting	Banishment
execute_imprisoned_interaction_voting	Execution of Prisoners
laws_voting	Law Changes
IMPRISON_DISCONTENT_REASON	[Actor.GetBestName] tried to imprison [Recipient.GetBestName] even though the Council voted no.
EXECUTE_DISCONTENT_REASON	[Actor.GetBestName] executed [Recipient.GetBestName] even though the Council voted no.
REVOKE_TITLE_DISCONTENT_REASON	[Actor.GetBestName] revoked the [ThirdPartyTitle.GetFullName] from [Recipient.GetBestName] even though the Council voted no.
GRANT_TITLE_DISCONTENT_REASON	[Actor.GetBestName] granted the [ThirdPartyTitle.GetFullName] to [Recipient.GetBestName] even though the Council voted no.
EXILE_IMPRISONED_DISCONTENT_REASON	[Actor.GetBestName] banished [Recipient.GetBestName] even though the Council voted no.
CB_NAME_INCREASE_COUNCIL_POWER	Increase Council Power
WAR_NAME_INCREASE_COUNCIL_POWER	$ORDER$$SECOND_ADJ$ Civil War to increase Council Power
council_off_custom	Disables use of §YRealm Peace§!
council_on_custom	Unlocks additional Council power laws\nEnables use of §YRealm Peace§!
#opinion_increased_council_power	Increased Council Power
EVTDESC8215	For too long, you have restricted the political influence of your vassals. The time has come to give the [Root.GetCouncilName] more power! Submit to this demand peacefully or face the consequences. Rest assure that I have gathered others who are equally upset...\n\nSigned,\n[From.GetTitledName]
opinion_childhood_sweetheart	Childhood Sweetheart
pattern_loyalist_vote_as_liege_custom_tooltip	This voter is a Loyalist and will vote like the liege\n
pattern_pragmatist_weak_opponent_custom_tooltip	The opponent is much weaker than us\n
pattern_pragmatist_de_jure_or_culture_custom_tooltip	The targeted land is part of our De Jure territory or it is of our Culture Group\n
pattern_pragmatist_strong_opponent_custom_tooltip	The opponent is too strong for us to take on\n
pattern_pragmatist_dislike_large_demesne_custom_tooltip	The targeted characters demesne is 4 or larger\n
pattern_glory_hound_glorious_war_custom_tooltip	The opponent is stronger than us, this war will be glorious!\n
pattern_glory_hound_preferred_war_custom_tooltip	This is my preferred war target!\n
pattern_glory_hound_land_grab_custom_tooltip	Winning this war will grow the realm!\n
pattern_glory_hound_opponent_too_weak_custom_tooltip	There is no glory in this war, the enemy is too weak\n
pattern_zealot_depose_wicked_pope_custom_tooltip	The war would depose a wicked pope\n
pattern_zealot_dislikes_heathens_heretics_custom_tooltip	The war is against a religious enemy!\n
pattern_attacking_excom_or_antipope_custom_tooltip	The war is against an Excommunicated character or an Antipope\n
pattern_zealot_not_other_religion_antipope_custom_tooltip	The target is not an antipope of another religion\n
pattern_malcontent_vote_against_liege_custom_tooltip	This voter is Malcontent and will oppose the liege\n
pattern_selfish_gain_title_custom_tooltip	I would gain a title!\n
pattern_selfish_save_my_hide_custom_tooltip	I am losing a war, this would save my hide!\n
pattern_selfish_save_ally_custom_tooltip	My ally is losing a war, this would help them\n
pattern_selfish_lose_title_custom_tooltip	I would lose a title!\n
pattern_selfish_affects_me_custom_tooltip	This affects me negatively\n
pattern_i_am_unlanded_custom_tooltip	I am unlanded, I should get the title!\n
pattern_my_de_jure_title_custom_tooltip	The title is part of my De Jure territory, it should be mine!\n
pattern_i_desire_this_title_custom_tooltip	I desire this title\n
pattern_selfish_i_am_winning_custom_tooltip	I am winning a war\n
pattern_selfish_ally_is_winning_custom_tooltip	My ally is winning a war\n
pattern_family_member_gain_title_custom_tooltip	My family member would gain a title!\n
pattern_family_against_family_custom_tooltip	This war is against one of my family members\n
pattern_family_member_lose_title_custom_tooltip	My family member would lose a title!\n
pattern_family_member_affected_negatively_custom_tooltip	My family member would be affected negatively\n
pattern_this_is_my_war_target_custom_tooltip	This is my preferred war target!\n
pattern_interaction_dislike_custom_tooltip	I dislike this character\n
pattern_interaction_like_custom_tooltip	I like this character\n
pattern_interaction_dont_dislike_unlanded_custom_tooltip	I do not dislike this character and the character is unlanded\n
#your_allies	§YAllies joining on your side.§!
#enemy_allies	§YAllies joining on the enemy's side.§!
#relations_instant	§Y$NAME$'s Relations§!
#relations_delayed	Friends, Rivals, Marriage Ties and Lovers
PICK_CHILDHOOD_FOCUS_DESC	Once set, you will not be able to change the childhood focus.\n§RIf not set, the child's upbringing will be more randomly selected.§!
PICK_ADOLESCENCE_FOCUS_DESC	Once set, you will not be able to change the education focus.\n§RIf not set, the child will get a random education with a significantly worse outcome than if you select an education.§!
CANNOT_CHANGE_CHILDHOOD_FOCUS	§RChildhood focus cannot be changed when set.§!\n§YThe childhood focus will automatically be removed when the character turns 12 and allow you to select an education instead.§!
CANNOT_CHANGE_EDUCATION_FOCUS	§REducation focus cannot be changed when set.§!\n§YThe education focus will automatically be removed when the character becomes adult.§!
LAW_CHANGE_TIMEOUT	§RThe Council recently rejected a law change. You can attempt to make a law change again at $DATE$§!
dissolve_mercenary_company_feudal	Dissolve Mercenary Company
INTERACTION_TITLE_REVOCATION_ALLOWED	Title Revocation Law enabled in §Y$TITLE$§!
EVTOPTB63043	This is futile.
EVTOPTB63043_TOOLTIP	Abandon your ambition.
EVTOPTB_ZE_13102	Boys will be boys.
EVTOPTC_ZE_13102	Girls will be girls.
SAME_POSITION_AS	has the same voting attitude ($POSITION$) as $TARGET|Y$
HAS_POSITION	has $POSITION|Y$ voting attitude
HAS_MERCENARY_UNITS	$CHARACTER$ owns mercenary units
COUNCILOR_VOTES	Votes for $ISSUE|Y$
#TRANSFER_INFAMY	Infamy from $SOURCE$
#INFAMY_NON_RULER_DESC	Cannot gain infamy since $CHARACTER|Y$ is not a ruler.
